,5_ADMINISTRATIVE DATA_Security Classification,10_ADMINISTRATIVE DATA_Type of Action,102_ADMINISTRATIVE DATA_Agency Serial Number,107_ADMINISTRATIVE DATA_Authorization Date,110_EMISSION CHARACTERISTICS_Frequency(ies),110_EMISSION CHARACTERISTICS_Frequency(ies),113_EMISSION CHARACTERISTICS_Station Class,114_EMISSION CHARACTERISTICS_Emission Designator,115_EMISSION CHARACTERISTICS_Transmitter Power,117_EMISSION CHARACTERISTICS_Effective Radiated Power,140_TIME/DATE INFORMATION_Required Date,141_TIME/DATE INFORMATION_Expiration Date,143_TIME/DATE INFORMATION_Revision Date,200_ORGANIZATIONAL INFORMATION_Agency,203_ORGANIZATIONAL INFORMATION_Bureau,300_TRANSMITTER LOCATION DATA_State/Country,301_TRANSMITTER LOCATION DATA_Antenna Location,303_TRANSMITTER LOCATION DATA_Antenna Coordinates,303_TRANSMITTER LOCATION DATA_Antenna Coordinates,304_TRANSMITTER LOCATION DATA_Call Sign,356_TRANSMITTER ANTENNA DATA_Antenna Structure Height,358_TRANSMITTER ANTENNA DATA_Antenna Elevation,359_TRANSMITTER ANTENNA DATA_Antenna Feedpoint Height,803_ADDITIONAL INFORMATION_Requestor Data,901_ADDITIONAL INFORMATION_Record Status,911_ADDITIONAL INFORMATION_Date of Last Transaction,924_ADDITIONAL INFORMATION_Data Source Indicator,927_ADDITIONAL INFORMATION_Date of Entry,963_ADDITIONAL INFORMATION_FCC File Number,110_EMISSION CHARACTERISTICS_Frequency(ies),306_TRANSMITTER LOCATION DATA_Authorized Radius,362_TRANSMITTER ANTENNA DATA_Antenna Orientation,403_RECEIVER LOCATION DATA_Antenna Coordinates,403_RECEIVER LOCATION DATA_Antenna Coordinates,404_RECEIVER LOCATION DATA_Call Sign,458_RECEIVER ANTENNA DATA_Antenna Elevation,459_RECEIVER ANTENNA DATA_Antenna Feedpoint Height,354_TRANSMITTER ANTENNA DATA_,355_TRANSMITTER ANTENNA DATA_Antenna Structure Nomenclature,357_TRANSMITTER ANTENNA DATA_Antenna Gain,360_TRANSMITTER ANTENNA DATA_Antenna Horizontal Beamwidth,400_RECEIVER LOCATION DATA_State/Country,401_RECEIVER LOCATION DATA_Antenna Location,406_RECEIVER LOCATION DATA_Authorized Radius,456_RECEIVER ANTENNA DATA_Antenna Structure Height,457_RECEIVER ANTENNA DATA_Antenna Gain,454_RECEIVER ANTENNA DATA_Antenna Name,455_RECEIVER ANTENNA DATA_Antenna Nomenclature,460_RECEIVER ANTENNA DATA_Antenna Horizontal Beamwidth,103_ADMINISTRATIVE DATA_IRAC Docket Number,130_TIME/DATE INFORMATION_Time,144_TIME/DATE INFORMATION_Approval Authority Indicator,340_TRANSMITTER EQUIPMENT_Equipment Nomenclature,373_TRANSMITTER ANTENNA DATA_JSC Area Code,402_RECEIVER LOCATION DATA_Receiver Control,462_RECEIVER ANTENNA DATA_Antenna Orientation,463_RECEIVER ANTENNA DATA_Antenna Polarization,473_RECEIVER ANTENNA DATA_JSC Area Code,500_SUPPLEMENTARY DETAILS_IRAC Notes,503_SUPPLEMENTARY DETAILS_Agency Free-text Comments,511_DataNumberSFAFItem_Major Function Identifier,512_DataNumberSFAFItem_Intermediate Function Identifier,513_DataNumberSFAFItem_Detailed Function Identifier,520_DataNumberSFAFItem_Supplementary Details,956_ADDITIONAL INFORMATION_Agency Action Number,142_TIME/DATE INFORMATION_Review Date,202_ORGANIZATIONAL INFORMATION_Unified Command Service,204_ORGANIZATIONAL INFORMATION_Command,205_ORGANIZATIONAL INFORMATION_Subcommand,206_ORGANIZATIONAL INFORMATION_InstallationManager   Frequency,207_ORGANIZATIONAL INFORMATION_Operating Unit,"341_TRANSMITTER EQUIPMENT_NumberName   of Stations, System",343_TRANSMITTER EQUIPMENT_EquipmentIdentificationCertificationNumber,440_RECEIVER EQUIPMENT_Equipment Nomenclature,443_RECEIVER EQUIPMENT_EquipmentIdentificationCertificationNumber,501_SUPPLEMENTARY DETAILS_Notes free-text Comments,701_OTHER ASSIGNMENT IDENTIFIERS_Frequency Action Officer,702_OTHER ASSIGNMENT IDENTIFIERS_Control/Request Number,928_ADDITIONAL INFORMATION_Date of Receipt,118_EMISSION CHARACTERISTICS_Power/ERP Augmentation,209_ORGANIZATIONAL INFORMATION_AreaOtherAFC/DoDOrganizationsAFC,345_TRANSMITTER EQUIPMENT_Radar Tunability,346_TRANSMITTER EQUIPMENT_Pulse Duration,347_TRANSMITTER EQUIPMENT_Pulse Repetition Rate,502_SUPPLEMENTARY DETAILS_Description of Requirement,342_TRANSMITTER EQUIPMENT_Aircraft Nautical Mile Value,958_ADDITIONAL INFORMATION_Routine Agenda Item,208_ORGANIZATIONAL INFORMATION_User Net/Code,442_RECEIVER EQUIPMENT_Aircraft Nautical Mile Value,147_TIME/DATE INFORMATION_Joint Agencies,506_DataNumberSFAFItem_Paired Frequency,361_TRANSMITTER ANTENNA DATA_Antenna Vertical Beamwidth,116_EMISSION CHARACTERISTICS_Power Type,461_RECEIVER ANTENNA DATA_Antenna Vertical Beamwidth,201_ORGANIZATIONAL INFORMATION_Unified Command,349_TRANSMITTER ANTENNA DATA_Sidelobe Suppression,302_TRANSMITTER LOCATION DATA_Station Control
0,UA ,N ,FCC 07DD6A ,20101109 ,M859.8125 ,859.8125,['FB2C '],['20K0F3E '],['W100.00000 '],['56.99 '],20101117 ,20201031 ,20140718 ,FCC ,YX ,DE ,WOODSIDE ,390413N0753323W ,"39.070277777777775,-75.55638888888889",KNRT540 ,['37 '],['15 '],['122 '],"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916 ,FCC ,20190916 ,1116496 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,UA ,N ,FCC 07DD6C ,20101109 ,M806-M821 ,,['MO '],['20K0F3E '],['W35.00000 '],['50.00 '],20101117 ,20201031 ,20140718 ,FCC ,YX ,DE ,WOODSIDE ,390413N0753323W ,"39.070277777777775,-75.55638888888889",KNRT540 ,,,,"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916 ,FCC ,20190916 ,1116496 ,"806.0, 821.0",56T ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,UA ,N ,FCC 087CDB ,20000303 ,M929.7125 ,929.7125,"['FB6C ', 'FB6C ']","['20K0F1D ', '20K0F3E ']","['W300.00000 ', 'W300.00000 ']","['65.44 ', '65.44 ']",20000526 ,20100303 ,20010328 ,FCC ,GS ,DE ,WOODSIDE ,390413N0753323W ,"39.070277777777775,-75.55638888888889",WPGR960 ,['122 '],['15 '],['96 '],PAGEMART II INC ,I ,20190916 ,FCC ,20190916 ,1132993 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,UA ,N ,FCC 087CDC ,20000303 ,M929.6625 ,929.6625,"['FB6C ', 'FB6C ']","['20K0F1D ', '20K0F3E ']","['W300.00000 ', 'W300.00000 ']","['65.44 ', '65.44 ']",20000526 ,20100303 ,20010328 ,FCC ,GS ,DE ,WOODSIDE ,390413N0753323W ,"39.070277777777775,-75.55638888888889",WPGR964 ,['122 '],['15 '],['96 '],PAGEMART II INC ,I ,20190916 ,FCC ,20190916 ,1132994 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UA ,N ,FCC 08B51E ,19980615 ,M929.2125 ,929.2125,"['FB6C ', 'FB6C ']","['20K0F1D ', '20K0F3E ']","['W300.00000 ', 'W300.00000 ']","['60.00 ', '60.00 ']",20050615 ,20080615 ,20080603 ,FCC ,GS ,DE ,WOODSIDE ,390413N0753323W ,"39.070277777777775,-75.55638888888889",WPMG560 ,['122 '],['15 '],['88 '],"Metrocall USA, Inc ",I ,20190916 ,FCC ,20190916 ,1137917 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,UA ,N ,FCC 08B7CC ,19980615 ,M929.4375 ,929.4375,"['FB6C ', 'FB6C ']","['20K0F1D ', '20K0F3E ']","['W300.00000 ', 'W300.00000 ']","['60.00 ', '60.00 ']",20030528 ,20080615 ,20041102 ,FCC ,GS ,DE ,WOODSIDE ,390413N0753323W ,"39.070277777777775,-75.55638888888889",WPMU882 ,['125 '],['15 '],['88 '],"Network Services, LLC Debtor-In-Possession ",I ,20190916 ,FCC ,20190916 ,1138091 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,UA ,N ,FCC 7F489B ,20010227 ,M2115.2 ,2115.2,['FXO '],['1M60F8W '],,,20010227 ,20110201 ,20080301 ,FCC ,CF ,DE ,DOVER ,390413N0753323W ,"39.070277777777775,-75.55638888888889",WLS505 ,['121.9 '],['15.2 '],,COMMUNICATIONS GROUP INC ,I ,20190916 ,FCC ,20190916 ,997762 ,,,"['179 ', 'H ']",384242N0753303W ,"38.711666666666666,-75.55083333333333",WLS504 ,['10.7 '],['85.3 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,UA ,N ,FCC 7FBC4B ,19990819 ,M931.4375 ,931.4375,"['FBBS ', 'FBBS ', 'FBBS ']","['15K0F2D ', '16K0F1D ', '16K0F3E ']",,"['59.30 ', '59.30 ', '59.30 ']",20040713 ,20090401 ,20041110 ,FCC ,CD ,DE ,WOODSIDE ,390413N0753323W ,"39.070277777777775,-75.55638888888889",KNKP540 ,,['125 '],,SkyTel Corp. ,I ,20190916 ,FCC ,20190916 ,4364 ,,,"['360 ', 'V ']",,,,,,KATH ,['740-89 '],['9 '],['360 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,UA ,N ,FCC 7FF588 ,19990503 ,M931.9125 ,931.9125,"['FBBS ', 'FBBS ', 'FBBS ']","['15K0F2D ', '16K0F1D ', '16K0F3E ']",,"['59.60 ', '59.60 ', '59.60 ']",20081030 ,20090401 ,20090523 ,FCC ,CD ,DE ,DOVER ,390413N0753323W ,"39.070277777777775,-75.55638888888889",KNKP421 ,,['115.8 '],,"USA Mobility Wireless, Inc. ",I ,20190916 ,FCC ,20190916 ,7590 ,,,"['360 ', 'V ']",,,,,,DECI ,['DB '],['9 '],['360 '],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,UA ,N ,FCC 140E2F ,20100209 ,M858.5375 ,858.5375,"['FB2C ', 'FB2C ', 'FB2C ']","['20K0F2D ', '20K0F3E ', '20K0G7W ']","['W100.00000 ', 'W100.00000 ', 'W100.00000 ']","['60.00 ', '60.00 ', '60.00 ']",20101117 ,20200316 ,20140719 ,FCC ,YX ,DE ,WOODSIDE ,390413N0753323W ,"39.070277777777775,-75.55638888888889",WPPY673 ,['122 '],['15 '],['122 '],"NEXTEL COMMUNICATIONS OF THE MID-ATLANTIC, INC. ",I ,20190916 ,FCC ,20190916 ,1165677 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
